Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7dS5EaCoMnN7DzlpT6aRn2,"2FXC3k01G6Gw61bmprjgqS","Take Me To Church","Hozier (Deluxe)","Hozier",2014-05-20,241688,0,spotify:user:1130225252,2017-06-09T17:34:13Z,"irish singer-songwriter,modern rock,pov: indie",0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,4
2V4bv1fNWfTcyRJKmej6Sj,"2KsP6tYLJlTBvSUxnwlVWa,1Bo8Afb2Qbjs4x6kJHyjle","Cooler Than Me - Single Mix","31 Minutes to Takeoff","Mike Posner,Gigamesh",2010-08-09,213293,79,spotify:user:1130225252,2017-06-29T20:42:16Z,"dance pop,pop,pop dance,pop rap,filter house,nu disco",0.768,0.82,7,-4.63,0,0.0474,0.179,0,0.689,0.625,129.965,4
7KA4W4McWYRpgf0fWsJZWB,"4V8LLVI7PbaPR0K2TGSxFF,1U1el3k54VvEUzo3ybLPlM","See You Again (feat. Kali Uchis)","Flower Boy","Tyler, The Creator,Kali Uchis",2017-07-21,180386,89,spotify:user:1130225252,2018-07-19T15:34:54Z,"hip hop,rap,colombian pop",0.558,0.559,6,-9.222,1,0.0959,0.371,0.00000749,0.109,0.62,78.558,4
3gbBpTdY8lnQwqxNCcf795,"7EQ0qTo7fWT7DPxmxtSYEc","Pompeii","Bad Blood","Bastille",2013-01-01,214147,73,spotify:user:1130225252,2016-07-05T18:32:51Z,"metropopolis,modern rock,pop",0.679,0.715,9,-6.383,1,0.0407,0.0755,0,0.271,0.571,127.435,4
3ZFTkvIE7kyPt6Nu3PEa7V,"0EmeFodog0BfCgMzAIvKQp,7aBzpmFXB4WWpPl2F7RjBe","Hips Don't Lie (feat. Wyclef Jean)","Oral Fixation, Vol. 2 (Expanded Edition)","Shakira,Wyclef Jean",2005-11-28,218093,87,spotify:user:1130225252,2016-07-05T18:39:38Z,"colombian pop,dance pop,latin pop,pop,rap kreyol",0.778,0.824,10,-5.892,0,0.0707,0.284,0,0.405,0.758,100.024,4
7wMq5n8mYSKlQIGECKUgTX,"3AQRLZ9PuTAozP28Skbq8V,085pc2PYOi8bGKj0PNjekA","Hall of Fame (feat. will.i.am)","#3 Deluxe Version","The Script,will.i.am",2012-09-10,202533,83,spotify:user:1130225252,2016-07-05T18:31:49Z,"celtic rock,pop,dance pop",0.421,0.873,10,-4.343,1,0.0564,0.0654,0,0.123,0.629,84.786,4
78W8wiUIlQ2SnWY9TVowKZ,"5fahUm8t5c0GIdeTq0ZaG8,1vCWHaC5f2uS3yhpwWbIA6","Back Where I Belong (feat. Avicii)","Back Where I Belong (feat. Avicii)","Otto Knows,Avicii",2016-06-03,174202,52,spotify:user:1130225252,2016-07-05T18:31:59Z,"dutch house,edm,electro house,pop dance,progressive electro house,dance pop,pop",0.497,0.865,0,-3.19,1,0.0644,0.0306,0.0679,0.443,0.595,125.96,4
2jcPoPin36hyNRSi4ZsqeB,"0C8ZW7ezQVs4URX5aX7Kqx","The Heart Wants What It Wants","The Heart Wants What It Wants","Selena Gomez",2014-01-01,227373,0,spotify:user:1130225252,2016-07-05T18:33:25Z,"pop,post-teen pop",0.616,0.789,7,-4.874,0,0.0377,0.053,0,0.142,0.621,83.066,4
2CEgGE6aESpnmtfiZwYlbV,"6MF9fzBmfXghAz953czmBC","Dynamite","The Rokstarr Hits Collection","Taio Cruz",2010-01-01,202613,77,spotify:user:1130225252,2016-07-05T18:34:27Z,"dance pop,pop,pop rap",0.751,0.783,4,-3.724,1,0.0859,0.00379,0,0.036,0.816,119.975,4
0tBRo4P60DgKmg4jt48upm,"37GUqxafAvAKGMZbXCUnmr","Bumpy Ride","Bumpy Ride","Mohombi",2010-01-01,224401,0,spotify:user:1130225252,2016-07-05T18:34:29Z,"",0.709,0.854,0,-4.447,0,0.0399,0.047,0,0.0724,0.826,105.074,4
1kAZhbcsXqfUjnVeqPywn2,"5bv5RplEOwdCvhq0EILh9E,33ScadVnbm2X8kkUqOkC6Z","Danza Kuduro (feat. Don Omar)","Danza Kuduro (feat. Don Omar)","Lucenzo,Don Omar",2011-06-27,202346,0,spotify:user:1130225252,2016-07-05T18:34:32Z,"reggaeton,latin hip hop,puerto rican pop,trap latino,urbano latino",0.706,0.89,0,-6.575,1,0.0847,0.0855,0,0.0465,0.896,130.051,4
2N2QvMYwyYHE8V4KZbbG4i,"5ZZqIQ25HQmufjjf2trwFO,5TZMaBvTPuICA1EQAWjKWZ","Syypää sun hymyyn (feat. Yasmine Yamajako)","Sokka irti","Cheek,Yasmine Yamajako",2012-04-04,230413,49,spotify:user:1130225252,2016-07-05T18:34:35Z,"finnish dance pop,finnish hip hop,finnish pop,musiikkia lapsille",0.472,0.815,9,-4.002,0,0.319,0.171,0,0.265,0.81,98.017,4
0ltBH1JNzSvQJPjJpvTu9B,"0jnsk9HBra6NMjO2oANoPY","Whistle","Whistle","Flo Rida",2012-04-24,225000,56,spotify:user:1130225252,2016-07-05T18:34:38Z,"dance pop,miami hip hop,pop,pop rap",0.754,0.933,0,-5.786,1,0.0448,0.0199,0,0.297,0.75,103.992,4
5HbCnVLXRyZVxnreOPgJCK,"0p4nmQO2msCgU4IF37Wi3j","Girlfriend","The Best Damn Thing","Avril Lavigne",2007-04-17,216600,0,spotify:user:1130225252,2016-07-05T18:34:41Z,"canadian pop,candy pop,dance pop,pop",0.56,0.959,7,-2.433,1,0.102,0.000738,0.000206,0.209,0.67,163.983,4
4NFhtFE68cXUrfbne8JE2c,"1uNFoZAHBGtllmzznpCI3s,3ipn9JLAPI5GUEo4y4jcoi","Baby","Baby","Justin Bieber,Ludacris",2010-01-01,216520,0,spotify:user:1130225252,2016-07-05T18:34:45Z,"canadian pop,pop,atl hip hop,dance pop,dirty south rap,hip hop,old school atlanta hip hop,pop rap,rap,southern hip hop,trap",0.463,0.854,8,-5.386,1,0.32,0.0428,0,0.0922,0.567,65.038,4
5HE3z4Ew7wZ91l3ZOpGKa4,"0jnsk9HBra6NMjO2oANoPY","I Cry","Wild Ones (Deluxe)","Flo Rida",2012-06-22,223800,30,spotify:user:1130225252,2016-07-05T18:34:47Z,"dance pop,miami hip hop,pop,pop rap",0.693,0.822,4,-5.441,0,0.0439,0.00616,0.00000179,0.315,0.763,126.035,4
5L9THbmMKB6ZlHlMgzaXHf,"37GUqxafAvAKGMZbXCUnmr,40xbWSB4JPdOkRyuTDy1oP","Coconut Tree","MoveMeant (International)","Mohombi,Nicole Scherzinger",2010-01-01,218373,0,spotify:user:1130225252,2016-07-05T18:34:50Z,"dance pop,pop,post-teen pop",0.687,0.855,7,-5.341,0,0.0416,0.0486,0,0.233,0.647,130.029,4
7qUcqYzOtfZe65bednDxmz,"1uNFoZAHBGtllmzznpCI3s","One Less Lonely Girl","My Worlds (International Version)","Justin Bieber",2010-01-01,229106,0,spotify:user:1130225252,2016-07-05T18:34:54Z,"canadian pop,pop",0.58,0.75,4,-4.421,1,0.194,0.159,0,0.274,0.728,86.938,4
0seHreoI3kwp38OlEgLLnT,"52k2KcEXIZTnYD2EpOoJiZ,4wDc5abr4uJzIxIUWpBlMx","Romeo ja Julia (feat. Sophie)","Räjähdysvaara","Pikku G,Sophie",2003-05-23,236200,36,spotify:user:1130225252,2016-07-05T18:35:06Z,"finnish dance pop,finnish hip hop,finnish pop",0.695,0.628,11,-6.498,0,0.0442,0.0539,0,0.32,0.529,144.114,4
5DcPOPPUnNhyPYbTi2aWjR,"1h6Cn3P4NGzXbaXidqURXs,2auikkNYqigWStoHWK1Grq","Don't You Worry Child - Radio Edit","Until Now (Deluxe Version)","Swedish House Mafia,John Martin",2012-01-01,212841,0,spotify:user:1130225252,2016-07-05T18:35:11Z,"edm,pop dance,progressive electro house,pop edm",0.608,0.828,2,-3.597,1,0.051,0.125,0,0.113,0.484,128.919,4
3bidbhpOYeV4knp8AIu8Xn,"5BcAKTbp20cv7tC5VqPFoC,3JhNCzhSMTxs9WLGJJxWOY,4myTppRgh0rojLxx8RycOp,4e0nWw2r4BoQSKPQ2zpU13","Can't Hold Us (feat. Ray Dalton)","The Heist","Macklemore & Ryan Lewis,Macklemore,Ryan Lewis,Ray Dalton",2012-10-09,258342,81,spotify:user:1130225252,2016-07-05T18:35:13Z,"pop rap,seattle hip hop,pop dance",0.641,0.922,2,-4.457,1,0.0786,0.0291,0,0.0862,0.847,146.078,4
1HfPcQ3c2HyGeID3u1lmCa,"1Cs0zKBU1kc0i8ypK3B9ai,5WUlDfRSoLAfcVSX1WnrxN","She Wolf (Falling to Pieces) [feat. Sia]","Nothing but the Beat 2.0","David Guetta,Sia",2011-08-24,222500,51,spotify:user:1130225252,2016-07-05T18:35:16Z,"big room,dance pop,edm,pop,pop dance,australian dance,australian pop",0.491,0.857,7,-2.634,1,0.0656,0.0834,0.00000757,0.344,0.395,129.971,4
6Ep6BzIOB9tz3P4sWqiiAB,"53XhwfbYqKCa1cC15pYq2q","Radioactive","Night Visions (Deluxe)","Imagine Dragons",2012-09-04,186813,0,spotify:user:1130225252,2016-07-05T18:35:18Z,"modern rock,pop,rock",0.473,0.777,9,-3.698,1,0.059,0.119,0.0000787,0.671,0.21,136.249,4
3bC1ahPIYt1btJzSSEyyrF,"0jnsk9HBra6NMjO2oANoPY","Whistle","Wild Ones","Flo Rida",2012-06-22,224653,80,spotify:user:1130225252,2016-07-05T18:35:19Z,"dance pop,miami hip hop,pop,pop rap",0.747,0.937,0,-5.746,1,0.0453,0.0208,0,0.29,0.739,103.976,4
05SBRd4fXgn8FX7bf8BCAE,"7CajNmpbOovFoOoasH2HaY,0X2BH1fck6amBIoJhDVmmJ","I Need Your Love (feat. Ellie Goulding)","18 Months","Calvin Harris,Ellie Goulding",2012-10-29,234506,74,spotify:user:1130225252,2016-07-05T18:35:20Z,"dance pop,edm,electro house,house,pop,pop dance,progressive house,uk dance,indietronica,metropopolis,uk pop",0.695,0.869,8,-5.066,1,0.0483,0.41,0,0.237,0.58,124.989,4
3cHyrEgdyYRjgJKSOiOtcS,"0TnOYISbd1XYRBk9myaseg,6LqNN22kT3074XbTVUrhzX","Timber","Global Warming: Meltdown (Deluxe Version)","Pitbull,Kesha",2012,204160,85,spotify:user:1130225252,2016-07-05T18:35:24Z,"dance pop,miami hip hop,pop",0.581,0.963,11,-4.087,1,0.0981,0.0295,0,0.139,0.788,129.992,4
2iJuuzV8P9Yz0VSurttIV5,"085pc2PYOi8bGKj0PNjekA,26dSoYclwsYLMAKD3tpOr4","Scream & Shout","#willpower","will.i.am,Britney Spears",2013-01-01,283400,80,spotify:user:1130225252,2016-07-05T18:35:25Z,"dance pop,pop",0.772,0.685,5,-6.849,1,0.0696,0.019,0.0000896,0.131,0.501,130.033,4
6g1NlCpW7fgqDnWbCCDrHl,"1vCWHaC5f2uS3yhpwWbIA6","Wake Me Up - Radio Edit","True","Avicii",2013-01-01,247426,22,spotify:user:1130225252,2016-07-05T18:35:29Z,"dance pop,edm,pop,pop dance",0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4
4YMqbFcDIFiCBd02PzUBcM,"5BcAKTbp20cv7tC5VqPFoC,56xTxG4nQMAs1GW9kvn0uA","Thrift Shop (feat. Wanz)","The Heist","Macklemore & Ryan Lewis,Wanz",2012-10-10,235613,0,spotify:user:1130225252,2016-07-05T18:35:30Z,"pop rap,seattle hip hop",0.781,0.526,6,-6.985,0,0.293,0.0619,0,0.0457,0.662,94.992,4
5YPMEOJ58kfl56VHxTgwx3,"1Cs0zKBU1kc0i8ypK3B9ai,21E3waRsmPlU7jZsS13rcj,0z4gvV4rjIZ9wHck67ucSV","Play Hard (feat. Ne-Yo & Akon)","Nothing but the Beat (Ultimate Edition)","David Guetta,Ne-Yo,Akon",2012-12-07,201000,73,spotify:user:1130225252,2016-07-05T18:35:31Z,"big room,dance pop,edm,pop,pop dance,r&b,urban contemporary",0.691,0.921,8,-1.702,0,0.0533,0.173,0,0.331,0.8,130.072,4
37sINbJZcFdHFAsVNsPq1i,"3AQRLZ9PuTAozP28Skbq8V","Superheroes","No Sound Without Silence","The Script",2014-09-15,245466,74,spotify:user:1130225252,2016-07-05T18:35:33Z,"celtic rock,pop",0.49,0.885,3,-4.121,1,0.0396,0.00218,0,0.0741,0.64,166.996,4
3zrYNl1aMdFrQkcOjKVr5u,"0jnsk9HBra6NMjO2oANoPY","I Cry","Wild Ones","Flo Rida",2012-06-22,223800,60,spotify:user:1130225252,2016-07-05T18:35:40Z,"dance pop,miami hip hop,pop,pop rap",0.693,0.822,4,-5.441,0,0.0439,0.00616,0.00000179,0.315,0.763,126.035,4
1QzFhzIOW7CyRJLpmq5CM0,"5Pwc4xIPtQLFEnJriah9YJ","Counting Stars","Native","OneRepublic",2014-01-01,257386,61,spotify:user:1130225252,2016-07-05T18:35:41Z,"piano rock,pop",0.663,0.705,1,-4.972,0,0.0385,0.0654,0,0.117,0.477,122.014,4
1R2SZUOGJqqBiLuvwKOT2Y,"2dd5mrQZvg6SmahdgVKDzh","Gangnam Style (강남스타일)","Gangnam Style (강남스타일)","PSY",2012-01-01,219493,0,spotify:user:1130225252,2016-07-05T18:35:47Z,"k-rap,korean old school hip hop",0.727,0.938,11,-2.872,0,0.288,0.00432,0,0.0911,0.757,132.077,4
4yOn1TEcfsKHUJCL2h1r8I,"0TnOYISbd1XYRBk9myaseg,1l7ZsJRRS8wlW3WfJfPfNS","Feel This Moment (feat. Christina Aguilera)","Global Warming","Pitbull,Christina Aguilera",2012-11-16,229506,53,spotify:user:1130225252,2016-07-05T18:35:49Z,"dance pop,miami hip hop,pop",0.668,0.758,7,-3.589,1,0.158,0.0338,0,0.204,0.531,135.958,4
3GBlLqIYgB8zWaeWDNJzdh,"7xEFii6utZmQ61kX59HmLH,1oKdM70mJD8VvDOTKeS8t1","Capsize","Capsize","FRENSHIP,Emily Warren",2016-04-15,237760,0,spotify:user:1130225252,2016-07-05T18:36:04Z,"electropop,indie poptimism,la pop,alt z,nyc pop",0.681,0.708,5,-6.019,0,0.0304,0.042,0.14,0.682,0.356,92.993,4
43lwHSTEexXRVVeXZtAtfi,"49CE2ffZ6Z3zeYSDauSKck,4cSYNpczcvTUpnPMFDLsIc","Magical","Magical","Tungevaag,Raaban",2016-05-27,218539,33,spotify:user:1130225252,2016-07-05T18:36:05Z,"big room,nordic house,deep pop edm",0.504,0.912,1,-2.867,1,0.259,0.199,0,0.105,0.248,189.983,4
6LtPIXlIzPOTF8vTecYjRe,"5lKZWd6HiSCLfnDGrq9RAm","Bleeding Love","Spirit","Leona Lewis",2007,262693,66,spotify:user:1130225252,2016-07-05T18:36:09Z,"british soul,dance pop,pop,talent show",0.635,0.647,5,-5.864,1,0.0366,0.192,0,0.154,0.201,104.058,4
48kF7W23OIcVBsNY5UesuQ,"2vVNxGBvKRQMWwI5c8KmYh","Drop That Low (When I Dip)","Drop That Low (When I Dip)","Tujamo",2016-04-01,159999,0,spotify:user:1130225252,2016-07-05T18:36:11Z,"dutch house,edm,electro house,melbourne bounce,pop dance,progressive electro house",0.579,0.896,5,-4.132,0,0.373,0.00945,0.836,0.121,0.103,125.672,4
1CUVN2kn7mW5FjkqXTR2W1,"1HBjj22wzbscIZ9sEb5dyf,4kYGAK2zu9EAomwj3hXkXy","Perfect Strangers","Perfect Strangers","Jonas Blue,JP Cooper",2016-06-03,196613,0,spotify:user:1130225252,2016-07-05T18:36:13Z,"pop,pop dance,tropical house,uk dance,uk pop",0.742,0.819,1,-5.307,1,0.0487,0.372,0,0.277,0.709,117.986,4
3eBwnjEe60kDJAMlFg1ewf,"2XnBwblw31dfGnspMIwgWz","Thinking About You","Thinking About You","Axwell /\ Ingrosso",2016-05-27,204590,0,spotify:user:1130225252,2016-07-05T18:36:15Z,"edm,pop dance,progressive electro house",0.69,0.811,8,-5.475,1,0.058,0.044,0,0.205,0.521,122.001,4
3cNjgVBKTJ1SvKhunrCdVy,"36jaGQtMj5UWD0eO1fCVdD","Please Don't Go","Please Don't Go","Joel Adams",2015-11-06,210580,68,spotify:user:1130225252,2016-07-05T18:36:17Z,"australian pop,pop soul",0.513,0.768,4,-4.868,0,0.0587,0.0118,0.0000194,0.294,0.235,84.264,4
6F1kPSgdnlSzZRfskE9vaV,"60d24wfXkVzDSfLS6hyCjZ,2J80qXI4NHKpq5RT3xUF7V","Lions in the Wild","Lions in the Wild","Martin Garrix,Third Party",2016-05-27,211889,0,spotify:user:1130225252,2016-07-05T18:36:21Z,"dutch edm,edm,pop,pop dance,progressive house,dutch house,electro house,progressive electro house",0.504,0.847,7,-6.81,0,0.0442,0.00434,0,0.816,0.28,127.854,4
12REd1n8PeiHHWOh066tpr,"6nxWCVXbOlEVRexSbLsTer,6xHUXzrfhFgnIv86EBR3Ml","Never Be Like You","Skin","Flume,kai",2016-05-27,233337,0,spotify:user:1130225252,2016-07-05T18:36:23Z,"australian dance,australian electropop,australian indie,downtempo,edm,indietronica",0.494,0.559,0,-5.445,1,0.0565,0.436,0,0.164,0.264,119.247,4
53B2XmmjJ9rriW1qciMBeX,"7n2wHs1TKAczGzO7Dd2rGr","Treat You Better","Treat You Better","Shawn Mendes",2016-06-03,187973,0,spotify:user:1130225252,2016-07-05T18:36:24Z,"canadian pop,pop,viral pop",0.45,0.825,10,-4.066,0,0.372,0.121,0,0.109,0.742,82.823,4
